[2025-06-18 22:56:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:58:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:00:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:02:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:04:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:06:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:07:15] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:07:18] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:07:19] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:07:19] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:07:19] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:07:19] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:07:20] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:07:20] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:07:20] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:07:20] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:07:20] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

