[2025-06-23 22:47:41] 🔁 Neues Training mit max_steps=74000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 23:09:41] 🔁 Neues Training mit max_steps=75000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 23:31:41] 🔁 Neues Training mit max_steps=76000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 23:51:41] 🔁 Neues Training mit max_steps=77000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 00:11:41] 🔁 Neues Training mit max_steps=78000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 00:31:41] 🔁 Neues Training mit max_steps=79000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 00:51:41] 🔁 Neues Training mit max_steps=80000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 01:11:41] 🔁 Neues Training mit max_steps=81000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 01:31:41] 🔁 Neues Training mit max_steps=82000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 01:53:42] 🔁 Neues Training mit max_steps=83000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 02:15:42] 🔁 Neues Training mit max_steps=84000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 02:37:42] 🔁 Neues Training mit max_steps=85000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 02:59:42] 🔁 Neues Training mit max_steps=86000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 03:21:42] 🔁 Neues Training mit max_steps=87000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 03:43:42] 🔁 Neues Training mit max_steps=88000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 04:05:42] 🔁 Neues Training mit max_steps=89000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 04:27:42] 🔁 Neues Training mit max_steps=90000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 04:49:43] 🔁 Neues Training mit max_steps=91000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 05:11:43] 🔁 Neues Training mit max_steps=92000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 05:33:43] 🔁 Neues Training mit max_steps=93000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 05:55:43] 🔁 Neues Training mit max_steps=94000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 06:17:43] 🔁 Neues Training mit max_steps=95000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

